Food,FOODON ID,Preferred Name,FoodEx_IRI,foodex_embed_avail
Egg pasta,http://purl.obolibrary.org/obo/FOODON_03540179,fresh egg pasta (efsa foodex2),A007G,True
Emmental,http://purl.obolibrary.org/obo/FOODON_03542874,"cheese, emmental (efsa foodex2)",A02YM,True
Evaporated milk,http://purl.obolibrary.org/obo/FOODON_03542721,"evaporated milk (liquid, unsweetened) (efsa foodex2)",A02PF,True
Fenugreek leaves,http://purl.obolibrary.org/obo/FOODON_03540841,fenugreek leaves (efsa foodex2),A0DJF,True
Fenugreek seeds,http://purl.obolibrary.org/obo/FOODON_03541312,fenugreek seed (efsa foodex2),A018H,True
Feta,http://purl.obolibrary.org/obo/FOODON_03542753,"cheese, feta (efsa foodex2)",A02RC,True
Fish,http://purl.obolibrary.org/obo/FOODON_03542212,fish (meat) (efsa foodex2),A026V,True
Garam masala,http://purl.obolibrary.org/obo/FOODON_03544064,indian spice mixes and similar (other than curry powder) (efsa foodex2),A043C,True
Gelatine,http://purl.obolibrary.org/obo/FOODON_03544158,gelatine (efsa foodex2),A0F5E,True
Ghee,http://purl.obolibrary.org/obo/FOODON_03543141,ghee (efsa foodex2),A038Y,True
Globe artichoke,http://purl.obolibrary.org/obo/FOODON_03540549,globe artichokes (efsa foodex2),A00RS,True
Gnocchi,http://purl.obolibrary.org/obo/FOODON_03540193,gnocchi (efsa foodex2),A008D,True
Goat,http://purl.obolibrary.org/obo/FOODON_03541932,goat fresh meat (efsa foodex2),A01RL,True
Goats cheese,http://purl.obolibrary.org/obo/FOODON_03542744,"cheese, chevre frais (efsa foodex2)",A02QQ,True
Gouda,http://purl.obolibrary.org/obo/FOODON_03542818,"cheese, gouda (efsa foodex2)",A02VA,True
Gourd,http://purl.obolibrary.org/obo/FOODON_03540676,courgettes and similar- (efsa foodex2),A00JQ,True
Gram flour,http://purl.obolibrary.org/obo/FOODON_03541100,chickpea flour (efsa foodex2),A01BH,True
Grana Padano,http://purl.obolibrary.org/obo/FOODON_03542899,"cheese, grana padano (efsa foodex2)",A02ZQ,True
Granulated sugar,http://purl.obolibrary.org/obo/FOODON_03542985,white sugar (efsa foodex2),A032J,True
Grape leaves,http://purl.obolibrary.org/obo/FOODON_03540454,grape leaves,A00NB,True
Gravy granules,http://purl.obolibrary.org/obo/FOODON_03544071,gravy instant granules (efsa foodex2),A043T,True
Greek Yogurt,http://purl.obolibrary.org/obo/FOODON_03542703,strained yoghurt (efsa foodex2),A16GH,False
Green bean,http://purl.obolibrary.org/obo/FOODON_03540600,french beans (with pods) (efsa foodex2),A00PG,True
Gruyere,http://purl.obolibrary.org/obo/FOODON_03542876,"cheese, gruyere (efsa foodex2)",A02YP,True
Haddock,http://purl.obolibrary.org/obo/FOODON_03542350,haddock (efsa foodex2),A02CA,True
Hake,http://purl.obolibrary.org/obo/FOODON_03542351,hakes (efsa foodex2),A02CB,True
Halibut,http://purl.obolibrary.org/obo/FOODON_03542328,"flounders, halibuts, soles (efsa foodex2)",A02AR,True
